#  UTC   F_ce_eq_TS04D(kHz)   F_ce_eq_dipole(kHz)
2014-11-01T00:00:00  5.8494   6.0837 
2014-11-01T00:05:00  6.1476   6.3823 
2014-11-01T00:10:00  6.4654   6.6995 
2014-11-01T00:15:00  6.8327   7.0657 
2014-11-01T00:20:00  7.1963   7.4260 
2014-11-01T00:25:00  7.6499   7.8766 
2014-11-01T00:30:00  8.1471   8.3695 
2014-11-01T00:35:00  8.7326   8.9503 
2014-11-01T00:40:00  9.3981   9.6103 
2014-11-01T00:45:00  10.150   10.355 
2014-11-01T00:50:00  10.994   11.192 
2014-11-01T00:55:00  12.017   12.206 
2014-11-01T01:00:00  13.205   13.384 
2014-11-01T01:05:00  14.608   14.772 
2014-11-01T01:10:00  16.267   16.407 
2014-11-01T01:15:00  18.277   18.379 
2014-11-01T01:20:00  20.734   20.775 
2014-11-01T01:25:00  23.753   23.703 
2014-11-01T01:30:00  27.593   27.417 
2014-11-01T01:35:00  32.495   32.152 
2014-11-01T01:40:00  38.867   38.320 
2014-11-01T01:45:00  47.471   46.692 
2014-11-01T01:50:00  59.220   58.221 
2014-11-01T01:55:00  76.073   74.971 
2014-11-01T02:00:00  101.08   100.25 
2014-11-01T02:05:00  139.58   139.99 
2014-11-01T02:10:00  201.29   205.58 
2014-11-01T02:15:00  300.57   316.25 
2014-11-01T02:20:00  447.87   484.82 
2014-11-01T02:25:00  624.19   659.41 
2014-11-01T02:30:00  682.54   687.97 
2014-11-01T02:35:00  547.04   532.55 
2014-11-01T02:40:00  356.38   350.53 
2014-11-01T02:45:00  214.34   222.05 
2014-11-01T02:50:00  133.75   144.70 
2014-11-01T02:55:00  90.458   99.155 
2014-11-01T03:00:00  65.690   71.536 
2014-11-01T03:05:00  50.254   54.032 
2014-11-01T03:10:00  39.818   42.306 
2014-11-01T03:15:00  32.418   34.152 
2014-11-01T03:20:00  26.964   28.269 
2014-11-01T03:25:00  22.773   23.833 
2014-11-01T03:30:00  19.555   20.474 
2014-11-01T03:35:00  16.956   17.784 
2014-11-01T03:40:00  14.923   15.689 
2014-11-01T03:45:00  13.198   13.913 
2014-11-01T03:50:00  11.840   12.518 
2014-11-01T03:55:00  10.627   11.272 
2014-11-01T04:00:00  9.6601   10.284 
2014-11-01T04:05:00  8.7700   9.3757 
2014-11-01T04:10:00  8.0491   8.6448 
2014-11-01T04:15:00  7.4248   8.0140 
2014-11-01T04:20:00  6.8493   7.4314 
2014-11-01T04:25:00  6.3684   6.9463 
2014-11-01T04:30:00  5.9462   6.5200 
2014-11-01T04:35:00  5.5680   6.1363 
2014-11-01T04:40:00  5.2421   5.8048 
2014-11-01T04:45:00  4.9506   5.5061 
2014-11-01T04:50:00  4.6903   5.2370 
2014-11-01T04:55:00  4.4686   5.0067 
2014-11-01T05:00:00  4.2703   4.7986 
2014-11-01T05:05:00  4.1008   4.6196 
2014-11-01T05:10:00  3.9340   4.4405 
2014-11-01T05:15:00  3.8212   4.3199 
2014-11-01T05:20:00  3.7040   4.1922 
2014-11-01T05:25:00  3.5936   4.0703 
2014-11-01T05:30:00  3.4739   3.9362 
2014-11-01T05:35:00  3.3678   3.8161 
2014-11-01T05:40:00  3.2672   3.7013 
2014-11-01T05:45:00  3.2011   3.6244 
2014-11-01T05:50:00  3.1517   3.5656 
2014-11-01T05:55:00  3.0988   3.5021 
2014-11-01T06:00:00  3.0326   3.4230 
2014-11-01T06:05:00  2.9931   3.3736 
2014-11-01T06:10:00  2.9668   3.3385 
2014-11-01T06:15:00  2.9476   3.3110 
2014-11-01T06:20:00  2.9383   3.2942 
2014-11-01T06:25:00  2.9519   3.3026 
2014-11-01T06:30:00  2.9616   3.3063 
2014-11-01T06:35:00  2.9224   3.2552 
2014-11-01T06:40:00  2.9046   3.2277 
2014-11-01T06:45:00  2.9133   3.2294 
2014-11-01T06:50:00  2.9038   3.2108 
2014-11-01T06:55:00  2.8997   3.1981 
2014-11-01T07:00:00  2.9091   3.2000 
2014-11-01T07:05:00  2.9346   3.2195 
2014-11-01T07:10:00  3.0100   3.2932 
2014-11-01T07:15:00  3.0501   3.3280 
2014-11-01T07:20:00  3.0928   3.3653 
2014-11-01T07:25:00  3.0930   3.3562 
2014-11-01T07:30:00  3.1470   3.4053 
2014-11-01T07:35:00  3.2176   3.4720 
2014-11-01T07:40:00  3.2819   3.5315 
2014-11-01T07:45:00  3.3534   3.5984 
2014-11-01T07:50:00  3.4171   3.6565 
2014-11-01T07:55:00  3.4901   3.7243 
2014-11-01T08:00:00  3.5566   3.7847 
2014-11-01T08:05:00  3.6770   3.9021 
2014-11-01T08:10:00  3.8181   4.0408 
2014-11-01T08:15:00  3.9909   4.2121 
2014-11-01T08:20:00  4.1592   4.3780 
2014-11-01T08:25:00  4.3470   4.5635 
2014-11-01T08:30:00  4.5209   4.7336 
2014-11-01T08:35:00  4.7348   4.9447 
2014-11-01T08:40:00  4.8963   5.1003 
2014-11-01T08:45:00  5.1166   5.3164 
2014-11-01T08:50:00  5.3434   5.5384 
2014-11-01T08:55:00  5.5970   5.7872 
2014-11-01T09:00:00  5.8499   6.0342 
2014-11-01T09:05:00  6.1774   6.3573 
2014-11-01T09:10:00  6.5025   6.6767 
2014-11-01T09:15:00  6.9386   7.1089 
2014-11-01T09:20:00  7.3901   7.5556 
2014-11-01T09:25:00  7.8659   8.0259 
2014-11-01T09:30:00  8.4678   8.6238 
2014-11-01T09:35:00  9.0903   9.2414 
2014-11-01T09:40:00  9.8211   9.9676 
2014-11-01T09:45:00  10.727   10.870 
2014-11-01T09:50:00  11.761   11.900 
2014-11-01T09:55:00  13.010   13.144 
2014-11-01T10:00:00  14.472   14.599 
2014-11-01T10:05:00  16.160   16.277 
2014-11-01T10:10:00  18.203   18.305 
2014-11-01T10:15:00  20.759   20.841 
2014-11-01T10:20:00  23.659   23.717 
2014-11-01T10:25:00  27.431   27.462 
2014-11-01T10:30:00  31.999   32.002 
2014-11-01T10:35:00  37.888   37.869 
2014-11-01T10:40:00  45.584   45.575 
2014-11-01T10:45:00  55.721   55.833 
2014-11-01T10:50:00  69.431   69.990 
2014-11-01T10:55:00  88.040   89.967 
2014-11-01T11:00:00  113.46   119.25 
2014-11-01T11:05:00  148.41   164.19 
2014-11-01T11:10:00  197.86   235.37 
2014-11-01T11:15:00  276.11   344.97 
2014-11-01T11:20:00  417.58   489.83 
2014-11-01T11:25:00  624.15   640.39 
2014-11-01T11:30:00  731.99   722.46 
2014-11-01T11:35:00  639.08   628.85 
2014-11-01T11:40:00  458.63   454.89 
2014-11-01T11:45:00  310.04   309.89 
2014-11-01T11:50:00  211.91   212.11 
2014-11-01T11:55:00  150.02   149.91 
2014-11-01T12:00:00  110.22   109.87 
2014-11-01T12:05:00  83.704   83.248 
2014-11-01T12:10:00  65.408   64.940 
2014-11-01T12:15:00  52.445   52.009 
2014-11-01T12:20:00  42.876   42.491 
2014-11-01T12:25:00  35.757   35.425 
2014-11-01T12:30:00  30.159   29.879 
