#  UTC   F_ce_eq_TS04D(kHz)   F_ce_eq_dipole(kHz)
2014-04-01T00:00:00  5.2078   5.2745 
2014-04-01T00:05:00  5.3608   5.4248 
2014-04-01T00:10:00  5.5267   5.5958 
2014-04-01T00:15:00  5.6819   5.7498 
2014-04-01T00:20:00  5.8698   5.9380 
2014-04-01T00:25:00  6.0819   6.1508 
2014-04-01T00:30:00  6.3168   6.3868 
2014-04-01T00:35:00  6.5462   6.6181 
2014-04-01T00:40:00  6.8452   6.9036 
2014-04-01T00:45:00  7.1503   7.2080 
2014-04-01T00:50:00  7.4698   7.5399 
2014-04-01T00:55:00  7.8632   7.9308 
2014-04-01T01:00:00  8.2912   8.3598 
2014-04-01T01:05:00  8.7797   8.8471 
2014-04-01T01:10:00  9.3202   9.3832 
2014-04-01T01:15:00  9.9332   9.9910 
2014-04-01T01:20:00  10.631   10.681 
2014-04-01T01:25:00  11.427   11.470 
2014-04-01T01:30:00  12.355   12.387 
2014-04-01T01:35:00  13.478   13.495 
2014-04-01T01:40:00  14.796   14.794 
2014-04-01T01:45:00  16.369   16.342 
2014-04-01T01:50:00  18.259   18.200 
2014-04-01T01:55:00  20.496   20.393 
2014-04-01T02:00:00  23.164   23.002 
2014-04-01T02:05:00  26.431   26.185 
2014-04-01T02:10:00  30.509   30.144 
2014-04-01T02:15:00  35.550   35.024 
2014-04-01T02:20:00  42.013   41.248 
2014-04-01T02:25:00  50.530   49.407 
2014-04-01T02:30:00  61.601   59.956 
2014-04-01T02:35:00  76.431   74.024 
2014-04-01T02:40:00  96.819   93.382 
2014-04-01T02:45:00  124.70   119.99 
2014-04-01T02:50:00  163.34   157.63 
2014-04-01T02:55:00  216.63   212.15 
2014-04-01T03:00:00  285.31   290.50 
2014-04-01T03:05:00  357.21   394.53 
2014-04-01T03:10:00  418.75   485.46 
2014-04-01T03:15:00  521.25   494.03 
2014-04-01T03:20:00  442.50   440.74 
2014-04-01T03:25:00  298.41   339.08 
2014-04-01T03:30:00  202.77   236.76 
2014-04-01T03:35:00  143.36   163.72 
2014-04-01T03:40:00  104.84   116.36 
2014-04-01T03:45:00  78.910   85.563 
2014-04-01T03:50:00  61.023   65.074 
2014-04-01T03:55:00  48.388   51.039 
2014-04-01T04:00:00  39.162   41.003 
2014-04-01T04:05:00  32.348   33.712 
2014-04-01T04:10:00  27.237   28.303 
2014-04-01T04:15:00  23.315   24.111 
2014-04-01T04:20:00  20.160   20.861 
2014-04-01T04:25:00  17.663   18.298 
2014-04-01T04:30:00  15.663   16.192 
2014-04-01T04:35:00  14.079   14.497 
2014-04-01T04:40:00  12.691   13.078 
2014-04-01T04:45:00  11.532   11.891 
2014-04-01T04:50:00  10.548   10.918 
2014-04-01T04:55:00  9.7449   10.077 
2014-04-01T05:00:00  9.0830   9.3650 
2014-04-01T05:05:00  8.4557   8.7247 
2014-04-01T05:10:00  7.9268   8.1832 
2014-04-01T05:15:00  7.5822   7.7092 
2014-04-01T05:20:00  7.0888   7.2668 
2014-04-01T05:25:00  6.8589   6.9095 
