#  UTC   F_ce_eq_TS04D(kHz)   F_ce_eq_dipole(kHz)
2014-06-01T00:00:00  7.0019   6.9938 
2014-06-01T00:05:00  7.3253   7.3153 
2014-06-01T00:10:00  7.6354   7.6246 
2014-06-01T00:15:00  7.9854   7.9734 
2014-06-01T00:20:00  8.3657   8.3509 
2014-06-01T00:25:00  8.8107   8.7938 
2014-06-01T00:30:00  9.3015   9.2831 
2014-06-01T00:35:00  9.8582   9.8359 
2014-06-01T00:40:00  10.484   10.454 
2014-06-01T00:45:00  11.204   11.172 
2014-06-01T00:50:00  12.020   11.983 
2014-06-01T00:55:00  12.943   12.902 
2014-06-01T01:00:00  14.043   13.988 
2014-06-01T01:05:00  15.314   15.251 
2014-06-01T01:10:00  16.841   16.764 
2014-06-01T01:15:00  18.651   18.552 
2014-06-01T01:20:00  20.810   20.679 
2014-06-01T01:25:00  23.469   23.298 
2014-06-01T01:30:00  26.699   26.468 
2014-06-01T01:35:00  30.730   30.414 
2014-06-01T01:40:00  35.840   35.413 
2014-06-01T01:45:00  42.509   41.905 
2014-06-01T01:50:00  51.211   50.353 
2014-06-01T01:55:00  62.921   61.690 
2014-06-01T02:00:00  78.952   77.164 
2014-06-01T02:05:00  101.55   98.924 
2014-06-01T02:10:00  134.13   130.27 
2014-06-01T02:15:00  182.06   176.52 
2014-06-01T02:20:00  253.03   245.56 
2014-06-01T02:25:00  354.67   346.07 
2014-06-01T02:30:00  479.28   473.96 
2014-06-01T02:35:00  568.54   577.76 
2014-06-01T02:40:00  528.76   557.62 
2014-06-01T02:45:00  436.11   438.14 
2014-06-01T02:50:00  313.68   325.31 
2014-06-01T02:55:00  214.01   235.89 
2014-06-01T03:00:00  152.49   170.42 
2014-06-01T03:05:00  113.37   125.25 
2014-06-01T03:10:00  87.180   94.675 
2014-06-01T03:15:00  68.773   73.526 
2014-06-01T03:20:00  55.434   58.536 
2014-06-01T03:25:00  45.590   47.669 
2014-06-01T03:30:00  38.127   39.566 
2014-06-01T03:35:00  32.389   33.416 
2014-06-01T03:40:00  27.900   28.652 
2014-06-01T03:45:00  24.342   24.889 
2014-06-01T03:50:00  21.459   21.873 
2014-06-01T03:55:00  19.083   19.399 
2014-06-01T04:00:00  17.130   17.372 
2014-06-01T04:05:00  15.500   15.684 
2014-06-01T04:10:00  14.119   14.259 
2014-06-01T04:15:00  12.931   13.040 
2014-06-01T04:20:00  11.917   11.997 
2014-06-01T04:25:00  11.028   11.090 
2014-06-01T04:30:00  10.263   10.310 
2014-06-01T04:35:00  9.6058   9.6406 
2014-06-01T04:40:00  9.0234   9.0492 
2014-06-01T04:45:00  8.5026   8.5206 
2014-06-01T04:50:00  8.0425   8.0554 
2014-06-01T04:55:00  7.6273   7.6354 
