#  UTC   F_ce_eq_TS04D(kHz)   F_ce_eq_dipole(kHz)
2014-01-01T00:00:00  100.05   100.95 
2014-01-01T00:05:00  75.084   76.419 
2014-01-01T00:10:00  58.191   59.650 
2014-01-01T00:15:00  46.254   47.693 
2014-01-01T00:20:00  37.692   39.056 
2014-01-01T00:25:00  31.283   32.550 
2014-01-01T00:30:00  26.444   27.613 
2014-01-01T00:35:00  22.721   23.792 
2014-01-01T00:40:00  19.758   20.730 
2014-01-01T00:45:00  17.409   18.287 
2014-01-01T00:50:00  15.468   16.253 
2014-01-01T00:55:00  13.882   14.585 
2014-01-01T01:00:00  12.539   13.167 
2014-01-01T01:05:00  11.455   12.022 
2014-01-01T01:10:00  10.502   11.015 
2014-01-01T01:15:00  9.6946   10.162 
2014-01-01T01:20:00  9.0012   9.4308 
2014-01-01T01:25:00  8.4053   8.8025 
2014-01-01T01:30:00  7.8831   8.2518 
2014-01-01T01:35:00  7.4028   7.7452 
2014-01-01T01:40:00  6.9993   7.3191 
2014-01-01T01:45:00  6.6265   6.9247 
2014-01-01T01:50:00  6.3232   6.6026 
2014-01-01T01:55:00  6.0360   6.2968 
2014-01-01T02:00:00  5.7592   6.0015 
2014-01-01T02:05:00  5.5278   5.7532 
2014-01-01T02:10:00  5.3126   5.5216 
2014-01-01T02:15:00  5.1193   5.3127 
2014-01-01T02:20:00  4.9454   5.1240 
2014-01-01T02:25:00  4.7882   4.9529 
2014-01-01T02:30:00  4.6572   4.8094 
2014-01-01T02:35:00  4.5213   4.6613 
2014-01-01T02:40:00  4.4221   4.5517 
2014-01-01T02:45:00  4.3192   4.4391 
2014-01-01T02:50:00  4.2209   4.3319 
2014-01-01T02:55:00  4.1356   4.2389 
2014-01-01T03:00:00  4.0549   4.1517 
2014-01-01T03:05:00  3.9990   4.0907 
2014-01-01T03:10:00  3.9249   4.0121 
2014-01-01T03:15:00  3.8776   3.9619 
2014-01-01T03:20:00  3.8074   3.8894 
2014-01-01T03:25:00  3.7724   3.8538 
2014-01-01T03:30:00  3.7299   3.8118 
2014-01-01T03:35:00  3.7009   3.7846 
2014-01-01T03:40:00  3.6633   3.7498 
2014-01-01T03:45:00  3.6381   3.7289 
2014-01-01T03:50:00  3.6269   3.7236 
2014-01-01T03:55:00  3.5890   3.6922 
2014-01-01T04:00:00  3.5840   3.6957 
2014-01-01T04:05:00  3.5530   3.6738 
2014-01-01T04:10:00  3.5378   3.6696 
2014-01-01T04:15:00  3.5406   3.6853 
2014-01-01T04:20:00  3.5385   3.6973 
2014-01-01T04:25:00  3.5565   3.7317 
