#  UTC   F_ce_eq_TS04D(kHz)   F_ce_eq_dipole(kHz)
2012-10-01T00:00:00  2.4908   3.4598 
2012-10-01T00:05:00  2.4727   3.4210 
2012-10-01T00:10:00  2.4001   3.4086 
2012-10-01T00:15:00  2.3371   3.3810 
2012-10-01T00:20:00  2.1766   3.1879 
2012-10-01T00:25:00  2.2037   3.0554 
2012-10-01T00:30:00  2.1971   3.0993 
2012-10-01T00:35:00  2.0379   2.8857 
2012-10-01T00:40:00  2.2339   3.2097 
2012-10-01T00:45:00  1.9951   2.7910 
2012-10-01T00:50:00  2.0884   2.9226 
2012-10-01T00:55:00  2.2344   3.0785 
2012-10-01T01:00:00  2.1951   3.0141 
2012-10-01T01:05:00  2.0355   2.9107 
2012-10-01T01:10:00  2.1958   3.1897 
2012-10-01T01:15:00  2.6120   3.7520 
2012-10-01T01:20:00  2.5460   3.7861 
2012-10-01T01:25:00  2.5149   3.5337 
2012-10-01T01:30:00  2.5345   3.4801 
2012-10-01T01:35:00  2.3559   3.4861 
2012-10-01T01:40:00  2.4144   3.6080 
2012-10-01T01:45:00  2.6194   3.7004 
2012-10-01T01:50:00  2.8133   3.8915 
2012-10-01T01:55:00  2.9375   4.0004 
2012-10-01T02:00:00  2.9989   4.1568 
2012-10-01T02:05:00  3.1452   4.3365 
2012-10-01T02:10:00  3.3553   4.5301 
2012-10-01T02:15:00  3.5289   4.7301 
2012-10-01T02:20:00  3.6335   4.9458 
2012-10-01T02:25:00  3.7836   5.2368 
2012-10-01T02:30:00  4.0748   5.5410 
2012-10-01T02:35:00  4.4292   5.9146 
2012-10-01T02:40:00  4.8315   6.3477 
2012-10-01T02:45:00  5.2909   6.8380 
2012-10-01T02:50:00  5.7626   7.4014 
2012-10-01T02:55:00  6.3014   8.0692 
2012-10-01T03:00:00  6.9973   8.8405 
2012-10-01T03:05:00  7.7667   9.7155 
2012-10-01T03:10:00  8.7080   10.707 
2012-10-01T03:15:00  9.9393   11.999 
2012-10-01T03:20:00  11.359   13.518 
2012-10-01T03:25:00  13.123   15.384 
2012-10-01T03:30:00  15.383   17.766 
2012-10-01T03:35:00  18.143   20.743 
2012-10-01T03:40:00  22.037   24.693 
2012-10-01T03:45:00  27.231   29.894 
2012-10-01T03:50:00  34.040   36.813 
2012-10-01T03:55:00  43.543   46.514 
2012-10-01T04:00:00  56.944   60.422 
2012-10-01T04:05:00  77.108   81.677 
2012-10-01T04:10:00  108.00   114.56 
2012-10-01T04:15:00  157.82   168.41 
2012-10-01T04:20:00  238.93   256.48 
2012-10-01T04:25:00  367.86   391.39 
2012-10-01T04:30:00  539.16   553.21 
2012-10-01T04:35:00  648.78   639.74 
2012-10-01T04:40:00  582.94   562.22 
2012-10-01T04:45:00  399.42   405.60 
2012-10-01T04:50:00  239.80   268.47 
2012-10-01T04:55:00  156.70   178.83 
2012-10-01T05:00:00  113.86   124.17 
2012-10-01T05:05:00  87.400   90.817 
2012-10-01T05:10:00  68.425   68.990 
2012-10-01T05:15:00  54.643   54.357 
2012-10-01T05:20:00  44.040   43.727 
2012-10-01T05:25:00  36.047   35.943 
