#  UTC   F_ce_eq_TS04D(kHz)   F_ce_eq_dipole(kHz)
2013-07-01T00:00:00  5.0697   7.3991 
2013-07-01T00:05:00  4.5291   6.9018 
2013-07-01T00:10:00  4.0325   6.4547 
2013-07-01T00:15:00  3.6275   6.0825 
2013-07-01T00:20:00  3.2828   5.7528 
2013-07-01T00:25:00  3.0315   5.4672 
2013-07-01T00:30:00  2.7461   5.2291 
2013-07-01T00:35:00  2.5287   4.9991 
2013-07-01T00:40:00  2.3595   4.8245 
2013-07-01T00:45:00  2.3371   4.6574 
2013-07-01T00:50:00  2.2551   4.5131 
2013-07-01T00:55:00  2.1740   4.3647 
2013-07-01T01:00:00  2.0732   4.2253 
2013-07-01T01:05:00  1.9581   4.1073 
2013-07-01T01:10:00  1.9298   3.9880 
2013-07-01T01:15:00  1.8681   3.8765 
2013-07-01T01:20:00  1.8140   3.7866 
2013-07-01T01:25:00  1.7591   3.6940 
2013-07-01T01:30:00  1.6777   3.6183 
2013-07-01T01:35:00  1.6549   3.5316 
2013-07-01T01:40:00  1.6322   3.4714 
2013-07-01T01:45:00  1.6216   3.4208 
2013-07-01T01:50:00  1.5179   3.3767 
2013-07-01T01:55:00  1.5488   3.3091 
2013-07-01T02:00:00  1.5289   3.2699 
2013-07-01T02:05:00  1.5141   3.2469 
2013-07-01T02:10:00  1.5308   3.2216 
2013-07-01T02:15:00  1.5092   3.2073 
2013-07-01T02:20:00  1.4734   3.1932 
2013-07-01T02:25:00  1.4733   3.1757 
2013-07-01T02:30:00  1.4682   3.1629 
2013-07-01T02:35:00  1.5126   3.1500 
2013-07-01T02:40:00  1.5598   3.1430 
2013-07-01T02:45:00  1.3724   3.1393 
2013-07-01T02:50:00  1.3406   3.1545 
2013-07-01T02:55:00  1.3349   3.1839 
2013-07-01T03:00:00  1.3180   3.2190 
2013-07-01T03:05:00  1.3134   3.2539 
2013-07-01T03:10:00  1.3979   3.2677 
2013-07-01T03:15:00  1.4506   3.3155 
2013-07-01T03:20:00  1.4937   3.3703 
2013-07-01T03:25:00  1.4971   3.3798 
2013-07-01T03:30:00  1.4874   3.4429 
2013-07-01T03:35:00  1.5694   3.5086 
2013-07-01T03:40:00  1.5394   3.5791 
2013-07-01T03:45:00  1.6142   3.6490 
2013-07-01T03:50:00  1.6413   3.7211 
2013-07-01T03:55:00  1.6628   3.8193 
2013-07-01T04:00:00  1.7527   3.9142 
2013-07-01T04:05:00  1.7615   4.0019 
2013-07-01T04:10:00  1.8342   4.0994 
2013-07-01T04:15:00  1.9110   4.2185 
2013-07-01T04:20:00  1.9905   4.3466 
2013-07-01T04:25:00  2.0766   4.4967 
2013-07-01T04:30:00  2.1544   4.6623 
2013-07-01T04:35:00  2.4189   4.8321 
2013-07-01T04:40:00  2.5276   5.0237 
2013-07-01T04:45:00  2.7219   5.2461 
2013-07-01T04:50:00  3.0426   5.5195 
2013-07-01T04:55:00  3.1950   5.8233 
2013-07-01T05:00:00  3.6356   6.1741 
2013-07-01T05:05:00  3.7968   6.5086 
2013-07-01T05:10:00  4.4038   6.9007 
2013-07-01T05:15:00  4.9553   7.3437 
2013-07-01T05:20:00  5.4393   7.8789 
2013-07-01T05:25:00  6.0488   8.5131 
2013-07-01T05:30:00  6.9740   9.2802 
2013-07-01T05:35:00  7.8965   10.118 
2013-07-01T05:40:00  8.9469   11.176 
2013-07-01T05:45:00  10.278   12.520 
2013-07-01T05:50:00  11.822   14.126 
2013-07-01T05:55:00  13.720   16.058 
2013-07-01T06:00:00  16.038   18.482 
2013-07-01T06:05:00  19.064   21.528 
2013-07-01T06:10:00  22.969   25.426 
2013-07-01T06:15:00  28.028   30.538 
2013-07-01T06:20:00  34.746   37.254 
2013-07-01T06:25:00  43.815   46.278 
2013-07-01T06:30:00  56.407   58.760 
2013-07-01T06:35:00  74.612   76.482 
2013-07-01T06:40:00  101.74   102.22 
2013-07-01T06:45:00  142.81   140.31 
2013-07-01T06:50:00  203.61   198.85 
2013-07-01T06:55:00  278.43   291.75 
2013-07-01T07:00:00  342.57   428.62 
2013-07-01T07:05:00  402.14   552.80 
2013-07-01T07:10:00  481.06   555.89 
2013-07-01T07:15:00  494.53   503.16 
2013-07-01T07:20:00  411.68   407.04 
2013-07-01T07:25:00  307.52   300.10 
2013-07-01T07:30:00  221.62   216.21 
2013-07-01T07:35:00  160.38   157.61 
2013-07-01T07:40:00  118.64   117.49 
2013-07-01T07:45:00  90.301   89.966 
2013-07-01T07:50:00  70.428   70.434 
2013-07-01T07:55:00  56.233   56.362 
2013-07-01T08:00:00  45.833   45.985 
2013-07-01T08:05:00  38.052   38.186 
2013-07-01T08:10:00  32.012   32.117 
2013-07-01T08:15:00  27.203   27.280 
2013-07-01T08:20:00  23.359   23.410 
2013-07-01T08:25:00  20.317   20.346 
2013-07-01T08:30:00  17.892   17.907 
2013-07-01T08:35:00  15.875   15.879 
2013-07-01T08:40:00  14.138   14.137 
2013-07-01T08:45:00  12.667   12.662 
2013-07-01T08:50:00  11.375   11.370 
2013-07-01T08:55:00  10.316   10.310 
2013-07-01T09:00:00  9.3778   9.3716 
2013-07-01T09:05:00  8.6222   8.6180 
2013-07-01T09:10:00  8.0120   8.0096 
2013-07-01T09:15:00  7.4830   7.4830 
2013-07-01T09:20:00  7.0301   7.0334 
2013-07-01T09:25:00  6.5814   6.5891 
2013-07-01T09:30:00  6.2286   6.2379 
2013-07-01T09:35:00  5.9118   5.9249 
2013-07-01T09:40:00  5.6581   5.6738 
2013-07-01T09:45:00  5.3966   5.4152 
2013-07-01T09:50:00  5.1624   5.1838 
2013-07-01T09:55:00  4.9714   4.9971 
2013-07-01T10:00:00  4.7983   4.8283 
2013-07-01T10:05:00  4.6357   4.6714 
2013-07-01T10:10:00  4.5025   4.5359 
2013-07-01T10:15:00  4.3594   4.3986 
2013-07-01T10:20:00  4.2292   4.2685 
2013-07-01T10:25:00  4.1082   4.1488 
2013-07-01T10:30:00  4.0392   4.0813 
2013-07-01T10:35:00  3.9290   3.9741 
2013-07-01T10:40:00  3.8594   3.9014 
2013-07-01T10:45:00  3.7850   3.8287 
2013-07-01T10:50:00  3.7278   3.7716 
2013-07-01T10:55:00  3.6887   3.7391 
2013-07-01T11:00:00  3.6514   3.7023 
2013-07-01T11:05:00  3.6304   3.6817 
2013-07-01T11:10:00  3.5973   3.6532 
2013-07-01T11:15:00  3.5778   3.6341 
2013-07-01T11:20:00  3.5903   3.6416 
2013-07-01T11:25:00  3.5705   3.6257 
2013-07-01T11:30:00  3.5659   3.6199 
2013-07-01T11:35:00  3.5608   3.6083 
2013-07-01T11:40:00  3.5505   3.5984 
2013-07-01T11:45:00  3.5449   3.5943 
2013-07-01T11:50:00  3.5635   3.6117 
2013-07-01T11:55:00  3.5664   3.6132 
2013-07-01T12:00:00  3.5855   3.6346 
2013-07-01T12:05:00  3.6147   3.6576 
2013-07-01T12:10:00  3.6714   3.7131 
2013-07-01T12:15:00  3.7154   3.7446 
2013-07-01T12:20:00  3.7503   3.7820 
2013-07-01T12:25:00  3.8075   3.8372 
2013-07-01T12:30:00  3.8788   3.9057 
2013-07-01T12:35:00  3.9425   3.9719 
2013-07-01T12:40:00  4.0162   4.0428 
2013-07-01T12:45:00  4.0995   4.1227 
2013-07-01T12:50:00  4.1769   4.1972 
2013-07-01T12:55:00  4.2886   4.3022 
2013-07-01T13:00:00  4.4041   4.4218 
2013-07-01T13:05:00  4.5415   4.5581 
2013-07-01T13:10:00  4.7075   4.7194 
2013-07-01T13:15:00  4.8829   4.8922 
2013-07-01T13:20:00  5.0629   5.0698 
2013-07-01T13:25:00  5.2737   5.2779 
2013-07-01T13:30:00  5.4956   5.4981 
2013-07-01T13:35:00  5.7654   5.7663 
2013-07-01T13:40:00  6.0444   6.0438 
2013-07-01T13:45:00  6.3336   6.3321 
2013-07-01T13:50:00  6.6524   6.6501 
2013-07-01T13:55:00  7.0624   7.0597 
2013-07-01T14:00:00  7.5081   7.5060 
2013-07-01T14:05:00  8.0226   8.0209 
2013-07-01T14:10:00  8.5880   8.5875 
2013-07-01T14:15:00  9.2525   9.2536 
2013-07-01T14:20:00  10.092   10.096 
2013-07-01T14:25:00  11.055   11.065 
2013-07-01T14:30:00  12.204   12.221 
2013-07-01T14:35:00  13.586   13.610 
2013-07-01T14:40:00  15.169   15.209 
2013-07-01T14:45:00  17.106   17.166 
2013-07-01T14:50:00  19.386   19.467 
2013-07-01T14:55:00  22.227   22.343 
2013-07-01T15:00:00  25.744   25.905 
2013-07-01T15:05:00  30.100   30.328 
2013-07-01T15:10:00  35.526   35.855 
2013-07-01T15:15:00  42.414   42.898 
2013-07-01T15:20:00  51.451   52.184 
2013-07-01T15:25:00  63.614   64.753 
2013-07-01T15:30:00  80.313   82.133 
2013-07-01T15:35:00  103.76   106.73 
2013-07-01T15:40:00  137.63   142.47 
2013-07-01T15:45:00  187.87   195.50 
2013-07-01T15:50:00  263.49   274.53 
2013-07-01T15:55:00  373.00   386.95 
2013-07-01T16:00:00  508.26   521.34 
2013-07-01T16:05:00  611.14   614.76 
2013-07-01T16:10:00  583.20   585.84 
2013-07-01T16:15:00  432.99   453.86 
2013-07-01T16:20:00  317.09   319.01 
2013-07-01T16:25:00  228.68   220.50 
2013-07-01T16:30:00  164.40   155.28 
2013-07-01T16:35:00  120.59   112.78 
2013-07-01T16:40:00  90.677   84.516 
2013-07-01T16:45:00  70.012   65.298 
2013-07-01T16:50:00  55.393   51.821 
2013-07-01T16:55:00  44.760   42.058 
2013-07-01T17:00:00  36.815   34.777 
2013-07-01T17:05:00  30.696   29.164 
2013-07-01T17:10:00  25.932   24.784 
2013-07-01T17:15:00  22.148   21.299 
2013-07-01T17:20:00  19.149   18.526 
2013-07-01T17:25:00  16.738   16.291 
2013-07-01T17:30:00  14.749   14.437 
2013-07-01T17:35:00  13.107   12.900 
2013-07-01T17:40:00  11.724   11.596 
2013-07-01T17:45:00  10.587   10.523 
2013-07-01T17:50:00  9.6812   9.6714 
2013-07-01T17:55:00  8.9061   8.9441 
2013-07-01T18:00:00  8.2356   8.3180 
2013-07-01T18:05:00  7.6190   7.7525 
2013-07-01T18:10:00  7.0950   7.2897 
2013-07-01T18:15:00  6.6452   6.8813 
2013-07-01T18:20:00  6.2588   6.5115 
2013-07-01T18:25:00  5.8856   6.1757 
2013-07-01T18:30:00  5.5482   5.8720 
2013-07-01T18:35:00  5.2846   5.6332 
2013-07-01T18:40:00  5.0005   5.3944 
2013-07-01T18:45:00  4.7851   5.2119 
2013-07-01T18:50:00  4.5672   5.0207 
2013-07-01T18:55:00  4.3486   4.8526 
2013-07-01T19:00:00  4.1881   4.7185 
2013-07-01T19:05:00  4.0192   4.5689 
2013-07-01T19:10:00  3.8807   4.4606 
2013-07-01T19:15:00  3.7938   4.3582 
2013-07-01T19:20:00  3.6526   4.2373 
2013-07-01T19:25:00  3.5475   4.1480 
2013-07-01T19:30:00  3.4547   4.0682 
2013-07-01T19:35:00  3.3368   4.0015 
2013-07-01T19:40:00  3.3035   3.9447 
2013-07-01T19:45:00  3.2235   3.8848 
2013-07-01T19:50:00  3.1852   3.8261 
2013-07-01T19:55:00  3.1229   3.7805 
2013-07-01T20:00:00  3.0660   3.7303 
2013-07-01T20:05:00  3.0238   3.6841 
2013-07-01T20:10:00  2.9993   3.6610 
2013-07-01T20:15:00  2.9377   3.6233 
2013-07-01T20:20:00  2.9030   3.6172 
2013-07-01T20:25:00  2.9218   3.6102 
2013-07-01T20:30:00  2.8834   3.5948 
2013-07-01T20:35:00  2.8686   3.6043 
2013-07-01T20:40:00  2.8419   3.5848 
2013-07-01T20:45:00  2.8526   3.5726 
2013-07-01T20:50:00  2.8554   3.5908 
2013-07-01T20:55:00  2.8045   3.5969 
2013-07-01T21:00:00  2.8745   3.6281 
2013-07-01T21:05:00  2.8613   3.6364 
2013-07-01T21:10:00  2.9031   3.6641 
2013-07-01T21:15:00  2.8797   3.6895 
2013-07-01T21:20:00  2.9137   3.7242 
2013-07-01T21:25:00  3.0184   3.7917 
2013-07-01T21:30:00  3.0643   3.8353 
2013-07-01T21:35:00  3.1170   3.8865 
2013-07-01T21:40:00  3.1934   3.9430 
2013-07-01T21:45:00  3.2643   4.0372 
2013-07-01T21:50:00  3.3403   4.0983 
2013-07-01T21:55:00  3.4628   4.1750 
2013-07-01T22:00:00  3.5467   4.2576 
2013-07-01T22:05:00  3.6534   4.3492 
2013-07-01T22:10:00  3.7934   4.4832 
2013-07-01T22:15:00  3.9275   4.6206 
2013-07-01T22:20:00  4.1285   4.7769 
2013-07-01T22:25:00  4.3457   4.9487 
2013-07-01T22:30:00  4.5517   5.1198 
2013-07-01T22:35:00  4.7679   5.3017 
2013-07-01T22:40:00  5.0255   5.5289 
2013-07-01T22:45:00  5.3072   5.7560 
2013-07-01T22:50:00  5.6206   6.0294 
2013-07-01T22:55:00  5.9989   6.3739 
2013-07-01T23:00:00  6.4444   6.7469 
2013-07-01T23:05:00  6.9268   7.1550 
2013-07-01T23:10:00  7.4501   7.6216 
2013-07-01T23:15:00  8.0867   8.1999 
2013-07-01T23:20:00  8.7954   8.8693 
2013-07-01T23:25:00  9.6565   9.6587 
2013-07-01T23:30:00  10.636   10.564 
2013-07-01T23:35:00  11.835   11.690 
2013-07-01T23:40:00  13.317   13.086 
2013-07-01T23:45:00  15.089   14.774 
2013-07-01T23:50:00  17.294   16.862 
2013-07-01T23:55:00  19.972   19.431 
2013-07-02T00:00:00  23.348   22.693 
2013-07-02T00:05:00  27.629   26.884 
2013-07-02T00:10:00  33.008   32.225 
2013-07-02T00:15:00  39.864   39.137 
2013-07-02T00:20:00  48.804   48.290 
2013-07-02T00:25:00  60.915   60.860 
2013-07-02T00:30:00  77.737   78.496 
2013-07-02T00:35:00  101.78   103.74 
2013-07-02T00:40:00  137.05   140.27 
2013-07-02T00:45:00  190.12   193.36 
2013-07-02T00:50:00  269.98   270.06 
2013-07-02T00:55:00  379.51   376.70 
2013-07-02T01:00:00  497.81   501.01 
2013-07-02T01:05:00  582.56   578.18 
2013-07-02T01:10:00  555.46   579.31 
2013-07-02T01:15:00  459.70   495.78 
2013-07-02T01:20:00  351.36   371.36 
2013-07-02T01:25:00  254.25   261.66 
2013-07-02T01:30:00  181.51   182.77 
2013-07-02T01:35:00  130.96   129.95 
2013-07-02T01:40:00  96.420   94.952 
2013-07-02T01:45:00  72.695   71.428 
2013-07-02T01:50:00  56.104   55.219 
2013-07-02T01:55:00  44.269   43.769 
2013-07-02T02:00:00  35.613   35.445 
2013-07-02T02:05:00  29.117   29.228 
2013-07-02T02:10:00  24.157   24.496 
2013-07-02T02:15:00  20.319   20.812 
2013-07-02T02:20:00  17.331   17.938 
2013-07-02T02:25:00  14.974   15.656 
2013-07-02T02:30:00  13.094   13.819 
2013-07-02T02:35:00  11.576   12.325 
2013-07-02T02:40:00  10.342   11.108 
2013-07-02T02:45:00  9.3538   10.126 
2013-07-02T02:50:00  8.4732   9.2662 
2013-07-02T02:55:00  7.7342   8.5525 
2013-07-02T03:00:00  7.1060   7.9544 
2013-07-02T03:05:00  6.5557   7.4352 
2013-07-02T03:10:00  6.0811   6.9915 
2013-07-02T03:15:00  5.6620   6.5886 
2013-07-02T03:20:00  5.2815   6.2280 
2013-07-02T03:25:00  4.9515   5.9163 
2013-07-02T03:30:00  4.6568   5.6364 
2013-07-02T03:35:00  4.3976   5.3893 
2013-07-02T03:40:00  4.1712   5.1689 
2013-07-02T03:45:00  3.9824   4.9743 
2013-07-02T03:50:00  3.8105   4.8075 
2013-07-02T03:55:00  3.6569   4.6468 
2013-07-02T04:00:00  3.5398   4.5143 
2013-07-02T04:05:00  3.4269   4.3922 
2013-07-02T04:10:00  3.2952   4.2635 
2013-07-02T04:15:00  3.1993   4.1585 
2013-07-02T04:20:00  3.1120   4.0458 
2013-07-02T04:25:00  3.0436   3.9616 
2013-07-02T04:30:00  2.9850   3.8967 
2013-07-02T04:35:00  2.9115   3.8200 
2013-07-02T04:40:00  2.8604   3.7687 
2013-07-02T04:45:00  2.8047   3.7157 
2013-07-02T04:50:00  2.7657   3.6735 
2013-07-02T04:55:00  2.7287   3.6485 
2013-07-02T05:00:00  2.7541   3.6103 
2013-07-02T05:05:00  2.6691   3.5681 
2013-07-02T05:10:00  2.6651   3.5430 
2013-07-02T05:15:00  2.6564   3.5328 
2013-07-02T05:20:00  2.6366   3.5213 
2013-07-02T05:25:00  2.6363   3.5132 
2013-07-02T05:30:00  2.6341   3.4897 
2013-07-02T05:35:00  2.6291   3.5004 
2013-07-02T05:40:00  2.6520   3.5163 
2013-07-02T05:45:00  2.5739   3.5370 
2013-07-02T05:50:00  2.5645   3.5427 
2013-07-02T05:55:00  2.5687   3.5538 
2013-07-02T06:00:00  2.5931   3.5884 
2013-07-02T06:05:00  2.6114   3.6076 
2013-07-02T06:10:00  2.6830   3.6551 
2013-07-02T06:15:00  2.6828   3.6921 
2013-07-02T06:20:00  2.7259   3.7494 
2013-07-02T06:25:00  2.7833   3.7888 
2013-07-02T06:30:00  2.8529   3.8560 
2013-07-02T06:35:00  2.9195   3.9334 
2013-07-02T06:40:00  3.0018   4.0125 
2013-07-02T06:45:00  3.1107   4.1121 
2013-07-02T06:50:00  3.1882   4.2127 
2013-07-02T06:55:00  3.2878   4.2938 
2013-07-02T07:00:00  3.3912   4.3913 
2013-07-02T07:05:00  3.5358   4.5204 
2013-07-02T07:10:00  3.6610   4.6606 
2013-07-02T07:15:00  3.8228   4.7839 
2013-07-02T07:20:00  4.0569   4.9891 
2013-07-02T07:25:00  4.2469   5.1831 
2013-07-02T07:30:00  4.4294   5.3815 
2013-07-02T07:35:00  4.6992   5.5886 
2013-07-02T07:40:00  4.9778   5.8549 
2013-07-02T07:45:00  5.2726   6.1561 
2013-07-02T07:50:00  5.5925   6.4544 
2013-07-02T07:55:00  6.0054   6.8299 
2013-07-02T08:00:00  6.3893   7.2188 
2013-07-02T08:05:00  6.8831   7.6664 
2013-07-02T08:10:00  7.4303   8.1855 
2013-07-02T08:15:00  8.0918   8.8051 
2013-07-02T08:20:00  8.8656   9.5321 
2013-07-02T08:25:00  9.7309   10.399 
2013-07-02T08:30:00  10.719   11.382 
2013-07-02T08:35:00  11.903   12.525 
2013-07-02T08:40:00  13.345   13.951 
2013-07-02T08:45:00  15.089   15.674 
2013-07-02T08:50:00  17.213   17.798 
2013-07-02T08:55:00  19.873   20.438 
2013-07-02T09:00:00  23.193   23.746 
2013-07-02T09:05:00  27.382   27.923 
2013-07-02T09:10:00  32.681   33.260 
2013-07-02T09:15:00  39.541   40.193 
2013-07-02T09:20:00  48.646   49.464 
2013-07-02T09:25:00  60.964   62.122 
2013-07-02T09:30:00  78.067   79.880 
2013-07-02T09:35:00  102.44   105.48 
2013-07-02T09:40:00  138.05   143.30 
2013-07-02T09:45:00  190.00   198.82 
2013-07-02T09:50:00  264.21   276.18 
2013-07-02T09:55:00  366.88   370.84 
2013-07-02T10:00:00  456.23   479.71 
2013-07-02T10:05:00  430.45   576.46 
2013-07-02T10:10:00  406.28   548.28 
2013-07-02T10:15:00  371.18   420.99 
2013-07-02T10:20:00  298.60   308.02 
2013-07-02T10:25:00  223.60   223.72 
2013-07-02T10:30:00  165.13   163.57 
2013-07-02T10:35:00  123.42   121.89 
2013-07-02T10:40:00  94.175   92.996 
2013-07-02T10:45:00  73.606   72.767 
2013-07-02T10:50:00  58.789   58.205 
2013-07-02T10:55:00  47.913   47.510 
2013-07-02T11:00:00  39.720   39.440 
2013-07-02T11:05:00  33.426   33.229 
2013-07-02T11:10:00  28.432   28.293 
2013-07-02T11:15:00  24.478   24.370 
2013-07-02T11:20:00  21.275   21.196 
2013-07-02T11:25:00  18.708   18.651 
2013-07-02T11:30:00  16.551   16.509 
2013-07-02T11:35:00  14.795   14.764 
2013-07-02T11:40:00  13.305   13.282 
2013-07-02T11:45:00  12.050   12.031 
2013-07-02T11:50:00  11.020   11.005 
2013-07-02T11:55:00  10.167   10.155 
2013-07-02T12:00:00  9.4650   9.4554 
2013-07-02T12:05:00  8.8305   8.8232 
2013-07-02T12:10:00  8.2743   8.2689 
2013-07-02T12:15:00  7.7903   7.7863 
2013-07-02T12:20:00  7.3303   7.3276 
2013-07-02T12:25:00  6.9794   6.9776 
2013-07-02T12:30:00  6.6227   6.6223 
2013-07-02T12:35:00  6.3760   6.3768 
2013-07-02T12:40:00  6.0964   6.0982 
2013-07-02T12:45:00  5.8022   5.8050 
2013-07-02T12:50:00  5.5845   5.5887 
2013-07-02T12:55:00  5.3762   5.3802 
2013-07-02T13:00:00  5.1678   5.1716 
2013-07-02T13:05:00  5.0207   5.0261 
2013-07-02T13:10:00  4.9215   4.9277 
2013-07-02T13:15:00  4.7981   4.8054 
2013-07-02T13:20:00  4.6912   4.6999 
2013-07-02T13:25:00  4.5539   4.5628 
2013-07-02T13:30:00  4.4558   4.4656 
2013-07-02T13:35:00  4.3681   4.3782 
2013-07-02T13:40:00  4.2896   4.3012 
2013-07-02T13:45:00  4.2099   4.2220 
2013-07-02T13:50:00  4.1594   4.1738 
2013-07-02T13:55:00  4.1217   4.1348 
2013-07-02T14:00:00  4.0822   4.0956 
2013-07-02T14:05:00  4.0245   4.0394 
2013-07-02T14:10:00  3.9970   4.0141 
2013-07-02T14:15:00  3.9410   3.9602 
2013-07-02T14:20:00  3.9251   3.9430 
2013-07-02T14:25:00  3.9213   3.9391 
2013-07-02T14:30:00  3.9153   3.9336 
2013-07-02T14:35:00  3.8958   3.9138 
2013-07-02T14:40:00  3.8812   3.8994 
2013-07-02T14:45:00  3.8847   3.9032 
2013-07-02T14:50:00  3.8929   3.9120 
2013-07-02T14:55:00  3.9098   3.9318 
2013-07-02T15:00:00  3.9414   3.9625 
2013-07-02T15:05:00  3.9686   3.9899 
2013-07-02T15:10:00  4.0131   4.0349 
2013-07-02T15:15:00  4.0413   4.0630 
2013-07-02T15:20:00  4.0858   4.1075 
2013-07-02T15:25:00  4.1394   4.1588 
2013-07-02T15:30:00  4.1847   4.2084 
2013-07-02T15:35:00  4.2649   4.2860 
2013-07-02T15:40:00  4.3245   4.3450 
2013-07-02T15:45:00  4.4215   4.4420 
2013-07-02T15:50:00  4.5450   4.5624 
2013-07-02T15:55:00  4.6521   4.6678 
2013-07-02T16:00:00  4.7844   4.7981 
2013-07-02T16:05:00  4.9042   4.9162 
2013-07-02T16:10:00  5.0360   5.0463 
2013-07-02T16:15:00  5.1991   5.2057 
2013-07-02T16:20:00  5.4193   5.4234 
2013-07-02T16:25:00  5.6251   5.6248 
2013-07-02T16:30:00  5.9145   5.9119 
2013-07-02T16:35:00  6.1982   6.1926 
2013-07-02T16:40:00  6.4725   6.4634 
2013-07-02T16:45:00  6.8491   6.8363 
2013-07-02T16:50:00  7.2391   7.2228 
2013-07-02T16:55:00  7.7356   7.7150 
2013-07-02T17:00:00  8.2594   8.2354 
2013-07-02T17:05:00  8.8412   8.8124 
2013-07-02T17:10:00  9.4823   9.4488 
2013-07-02T17:15:00  10.203   10.165 
2013-07-02T17:20:00  11.070   11.024 
2013-07-02T17:25:00  12.112   12.060 
2013-07-02T17:30:00  13.397   13.338 
2013-07-02T17:35:00  14.949   14.877 
2013-07-02T17:40:00  16.797   16.708 
2013-07-02T17:45:00  19.001   18.891 
2013-07-02T17:50:00  21.656   21.516 
2013-07-02T17:55:00  24.968   24.788 
2013-07-02T18:00:00  29.105   28.869 
2013-07-02T18:05:00  34.274   33.964 
2013-07-02T18:10:00  40.846   40.434 
2013-07-02T18:15:00  49.396   48.860 
2013-07-02T18:20:00  60.834   60.146 
2013-07-02T18:25:00  76.489   75.677 
2013-07-02T18:30:00  98.349   97.572 
2013-07-02T18:35:00  129.23   129.02 
2013-07-02T18:40:00  173.91   175.89 
2013-07-02T18:45:00  237.17   245.63 
2013-07-02T18:50:00  324.95   347.71 
2013-07-02T18:55:00  444.72   483.27 
2013-07-02T19:00:00  579.08   617.76 
2013-07-02T19:05:00  630.92   656.06 
2013-07-02T19:10:00  548.54   551.09 
2013-07-02T19:15:00  389.09   393.09 
2013-07-02T19:20:00  249.80   262.57 
2013-07-02T19:25:00  164.64   175.27 
2013-07-02T19:30:00  115.08   120.59 
2013-07-02T19:35:00  84.387   86.430 
2013-07-02T19:40:00  64.204   64.479 
2013-07-02T19:45:00  50.167   49.694 
2013-07-02T19:50:00  40.114   39.413 
2013-07-02T19:55:00  32.706   32.025 
2013-07-02T20:00:00  27.105   26.553 
2013-07-02T20:05:00  22.766   22.377 
2013-07-02T20:10:00  19.358   19.135 
2013-07-02T20:15:00  16.659   16.570 
2013-07-02T20:20:00  14.507   14.527 
2013-07-02T20:25:00  12.774   12.876 
2013-07-02T20:30:00  11.392   11.563 
2013-07-02T20:35:00  10.254   10.486 
2013-07-02T20:40:00  9.2920   9.5827 
2013-07-02T20:45:00  8.4433   8.7909 
2013-07-02T20:50:00  7.6982   8.1246 
2013-07-02T20:55:00  7.0736   7.5586 
2013-07-02T21:00:00  6.5141   7.0524 
