#  UTC   F_ce_eq_TS04D(kHz)   F_ce_eq_dipole(kHz)
2014-02-01T00:00:00  61.867   64.779 
2014-02-01T00:05:00  76.788   81.148 
2014-02-01T00:10:00  97.390   103.61 
2014-02-01T00:15:00  127.76   134.97 
2014-02-01T00:20:00  177.63   178.32 
2014-02-01T00:25:00  273.93   239.35 
2014-02-01T00:30:00  445.15   333.75 
2014-02-01T00:35:00  629.21   486.67 
2014-02-01T00:40:00  693.62   619.43 
2014-02-01T00:45:00  593.06   586.24 
2014-02-01T00:50:00  447.91   446.55 
2014-02-01T00:55:00  310.93   305.95 
2014-02-01T01:00:00  209.85   204.75 
2014-02-01T01:05:00  143.76   139.92 
2014-02-01T01:10:00  101.72   99.260 
2014-02-01T01:15:00  74.441   73.059 
2014-02-01T01:20:00  56.406   55.763 
2014-02-01T01:25:00  43.941   43.787 
2014-02-01T01:30:00  35.201   35.361 
2014-02-01T01:35:00  28.767   29.123 
2014-02-01T01:40:00  24.026   24.494 
2014-02-01T01:45:00  20.378   20.895 
2014-02-01T01:50:00  17.605   18.126 
2014-02-01T01:55:00  15.373   15.867 
2014-02-01T02:00:00  13.626   14.081 
2014-02-01T02:05:00  12.169   12.580 
2014-02-01T02:10:00  11.005   11.374 
2014-02-01T02:15:00  9.9962   10.325 
2014-02-01T02:20:00  9.1617   9.4547 
2014-02-01T02:25:00  8.4263   8.6854 
2014-02-01T02:30:00  7.8253   8.0535 
2014-02-01T02:35:00  7.2959   7.4939 
2014-02-01T02:40:00  6.8402   7.0089 
2014-02-01T02:45:00  6.4388   6.5786 
2014-02-01T02:50:00  6.1016   6.2131 
2014-02-01T02:55:00  5.7957   5.8792 
2014-02-01T03:00:00  5.5237   5.5799 
2014-02-01T03:05:00  5.2958   5.3256 
2014-02-01T03:10:00  5.0882   5.0924 
2014-02-01T03:15:00  4.8969   4.8766 
2014-02-01T03:20:00  4.7302   4.6867 
2014-02-01T03:25:00  4.5918   4.5263 
2014-02-01T03:30:00  4.4663   4.3801 
2014-02-01T03:35:00  4.3697   4.2637 
2014-02-01T03:40:00  4.2551   4.1315 
2014-02-01T03:45:00  4.1618   4.0218 
2014-02-01T03:50:00  4.0784   3.9234 
2014-02-01T03:55:00  4.0115   3.8425 
2014-02-01T04:00:00  3.9358   3.7552 
2014-02-01T04:05:00  3.8848   3.6929 
2014-02-01T04:10:00  3.8193   3.6187 
2014-02-01T04:15:00  3.7915   3.5817 
2014-02-01T04:20:00  3.7434   3.5272 
2014-02-01T04:25:00  3.7063   3.4848 
2014-02-01T04:30:00  3.6612   3.4364 
2014-02-01T04:35:00  3.6317   3.4042 
2014-02-01T04:40:00  3.6113   3.3821 
2014-02-01T04:45:00  3.5803   3.3517 
2014-02-01T04:50:00  3.5627   3.3354 
2014-02-01T04:55:00  3.5470   3.3224 
2014-02-01T05:00:00  3.5384   3.3175 
2014-02-01T05:05:00  3.5311   3.3154 
2014-02-01T05:10:00  3.5262   3.3170 
2014-02-01T05:15:00  3.5255   3.3241 
