#  UTC   F_ce_eq_TS04D(kHz)   F_ce_eq_dipole(kHz)
2013-08-01T00:00:00  71.274   69.940 
2013-08-01T00:05:00  53.988   53.484 
2013-08-01T00:10:00  42.015   42.097 
2013-08-01T00:15:00  33.488   33.982 
2013-08-01T00:20:00  27.246   28.017 
2013-08-01T00:25:00  22.552   23.492 
2013-08-01T00:30:00  18.957   20.014 
2013-08-01T00:35:00  16.194   17.325 
2013-08-01T00:40:00  14.043   15.198 
2013-08-01T00:45:00  12.328   13.484 
2013-08-01T00:50:00  10.932   12.083 
2013-08-01T00:55:00  9.7841   10.930 
2013-08-01T01:00:00  8.8387   9.9738 
2013-08-01T01:05:00  7.9863   9.1555 
2013-08-01T01:10:00  7.2596   8.4448 
2013-08-01T01:15:00  6.6634   7.8265 
2013-08-01T01:20:00  6.1523   7.3007 
2013-08-01T01:25:00  5.6737   6.8434 
2013-08-01T01:30:00  5.2551   6.4446 
2013-08-01T01:35:00  4.9085   6.0905 
2013-08-01T01:40:00  4.6028   5.7828 
2013-08-01T01:45:00  4.3168   5.5178 
2013-08-01T01:50:00  4.0064   5.2550 
2013-08-01T01:55:00  3.7704   5.0428 
2013-08-01T02:00:00  3.5801   4.8655 
2013-08-01T02:05:00  3.3929   4.6749 
2013-08-01T02:10:00  3.2425   4.5286 
2013-08-01T02:15:00  3.0884   4.3750 
2013-08-01T02:20:00  2.9604   4.2456 
2013-08-01T02:25:00  2.8397   4.1213 
2013-08-01T02:30:00  2.7351   4.0112 
2013-08-01T02:35:00  2.6481   3.9169 
2013-08-01T02:40:00  2.5638   3.8260 
2013-08-01T02:45:00  2.4898   3.7379 
2013-08-01T02:50:00  2.4175   3.6573 
2013-08-01T02:55:00  2.3674   3.6011 
2013-08-01T03:00:00  2.3234   3.5460 
2013-08-01T03:05:00  2.2939   3.5052 
2013-08-01T03:10:00  2.2596   3.4438 
2013-08-01T03:15:00  2.2377   3.4138 
2013-08-01T03:20:00  2.2166   3.3802 
2013-08-01T03:25:00  2.1782   3.2978 
2013-08-01T03:30:00  2.1418   3.2357 
2013-08-01T03:35:00  2.1397   3.2483 
2013-08-01T03:40:00  2.1558   3.2830 
2013-08-01T03:45:00  2.1926   3.2946 
2013-08-01T03:50:00  2.2076   3.2869 
2013-08-01T03:55:00  2.2147   3.2701 
2013-08-01T04:00:00  2.2178   3.2561 
2013-08-01T04:05:00  2.2242   3.2459 
2013-08-01T04:10:00  2.2388   3.2668 
2013-08-01T04:15:00  2.2793   3.3309 
2013-08-01T04:20:00  2.3285   3.3785 
2013-08-01T04:25:00  2.3715   3.4136 
2013-08-01T04:30:00  2.4159   3.4657 
2013-08-01T04:35:00  2.4913   3.5446 
2013-08-01T04:40:00  2.6148   3.6278 
2013-08-01T04:45:00  2.6961   3.7086 
2013-08-01T04:50:00  2.7854   3.7776 
2013-08-01T04:55:00  2.8510   3.8525 
2013-08-01T05:00:00  2.9592   3.9442 
2013-08-01T05:05:00  3.0710   4.0555 
2013-08-01T05:10:00  3.1886   4.1549 
2013-08-01T05:15:00  3.3243   4.2795 
2013-08-01T05:20:00  3.4598   4.4254 
2013-08-01T05:25:00  3.6280   4.5668 
2013-08-01T05:30:00  3.8413   4.7408 
2013-08-01T05:35:00  4.0263   4.9243 
2013-08-01T05:40:00  4.2595   5.1275 
2013-08-01T05:45:00  4.4994   5.3494 
2013-08-01T05:50:00  4.7836   5.6095 
2013-08-01T05:55:00  5.1057   5.8946 
2013-08-01T06:00:00  5.4864   6.2175 
2013-08-01T06:05:00  5.9131   6.5993 
2013-08-01T06:10:00  6.3351   6.9806 
2013-08-01T06:15:00  6.8120   7.4205 
2013-08-01T06:20:00  7.3748   7.9529 
2013-08-01T06:25:00  7.9710   8.5192 
2013-08-01T06:30:00  8.6531   9.1755 
2013-08-01T06:35:00  9.4372   9.9422 
2013-08-01T06:40:00  10.346   10.833 
2013-08-01T06:45:00  11.370   11.840 
2013-08-01T06:50:00  12.584   13.044 
2013-08-01T06:55:00  14.018   14.479 
2013-08-01T07:00:00  15.722   16.186 
2013-08-01T07:05:00  17.812   18.274 
2013-08-01T07:10:00  20.402   20.868 
2013-08-01T07:15:00  23.621   24.097 
2013-08-01T07:20:00  27.656   28.158 
2013-08-01T07:25:00  32.703   33.259 
2013-08-01T07:30:00  39.297   39.953 
2013-08-01T07:35:00  47.947   48.773 
2013-08-01T07:40:00  59.485   60.594 
2013-08-01T07:45:00  75.456   77.027 
2013-08-01T07:50:00  97.849   100.15 
2013-08-01T07:55:00  130.13   133.54 
2013-08-01T08:00:00  176.77   181.45 
2013-08-01T08:05:00  243.73   248.07 
2013-08-01T08:10:00  335.916   335.89 
2013-08-01T08:15:00  416.54   454.56 
2013-08-01T08:20:00  434.77   583.29 
2013-08-01T08:25:00  465.60   594.66 
2013-08-01T08:30:00  446.91   480.26 
2013-08-01T08:35:00  357.66   360.34 
2013-08-01T08:40:00  263.23   261.67 
2013-08-01T08:45:00  190.49   188.98 
2013-08-01T08:50:00  139.54   138.56 
2013-08-01T08:55:00  104.82   104.25 
2013-08-01T09:00:00  80.865   80.555 
2013-08-01T09:05:00  63.980   63.815 
2013-08-01T09:10:00  51.730   51.645 
2013-08-01T09:15:00  42.604   42.564 
2013-08-01T09:20:00  35.684   35.668 
2013-08-01T09:25:00  30.321   30.318 
2013-08-01T09:30:00  26.096   26.098 
2013-08-01T09:35:00  22.686   22.691 
2013-08-01T09:40:00  19.953   19.960 
2013-08-01T09:45:00  17.756   17.763 
2013-08-01T09:50:00  15.936   15.942 
2013-08-01T09:55:00  14.427   14.434 
2013-08-01T10:00:00  13.136   13.141 
2013-08-01T10:05:00  12.050   12.054 
2013-08-01T10:10:00  11.140   11.143 
2013-08-01T10:15:00  10.332   10.334 
2013-08-01T10:20:00  9.6480   9.6503 
2013-08-01T10:25:00  9.0457   9.0475 
2013-08-01T10:30:00  8.4963   8.4979 
2013-08-01T10:35:00  7.9722   7.9750 
2013-08-01T10:40:00  7.5113   7.5138 
2013-08-01T10:45:00  7.1225   7.1234 
2013-08-01T10:50:00  6.7814   6.7819 
2013-08-01T10:55:00  6.4537   6.4539 
2013-08-01T11:00:00  6.1592   6.1592 
2013-08-01T11:05:00  5.9194   5.9189 
2013-08-01T11:10:00  5.6873   5.6868 
2013-08-01T11:15:00  5.4828   5.4819 
2013-08-01T11:20:00  5.2815   5.2801 
2013-08-01T11:25:00  5.1096   5.1078 
2013-08-01T11:30:00  4.9475   4.9457 
2013-08-01T11:35:00  4.7934   4.7916 
2013-08-01T11:40:00  4.6681   4.6661 
2013-08-01T11:45:00  4.5569   4.5549 
2013-08-01T11:50:00  4.4631   4.4611 
2013-08-01T11:55:00  4.3330   4.3311 
2013-08-01T12:00:00  4.2559   4.2534 
2013-08-01T12:05:00  4.1861   4.1842 
2013-08-01T12:10:00  4.1196   4.1182 
2013-08-01T12:15:00  4.0590   4.0579 
2013-08-01T12:20:00  4.0116   4.0103 
2013-08-01T12:25:00  3.9694   3.9688 
2013-08-01T12:30:00  3.9455   3.9438 
2013-08-01T12:35:00  3.9160   3.9151 
2013-08-01T12:40:00  3.8830   3.8821 
2013-08-01T12:45:00  3.8730   3.8710 
2013-08-01T12:50:00  3.8498   3.8500 
2013-08-01T12:55:00  3.8468   3.8473 
2013-08-01T13:00:00  3.8391   3.8390 
2013-08-01T13:05:00  3.8604   3.8617 
2013-08-01T13:10:00  3.8751   3.8769 
