#  UTC   F_ce_eq_TS04D(kHz)   F_ce_eq_dipole(kHz)
2013-06-01T00:00:00  511.95   553.07 
2013-06-01T00:05:00  399.83   420.19 
2013-06-01T00:10:00  289.89   295.84 
2013-06-01T00:15:00  204.44   204.93 
2013-06-01T00:20:00  144.40   144.21 
2013-06-01T00:25:00  104.12   104.52 
2013-06-01T00:30:00  77.317   78.288 
2013-06-01T00:35:00  58.995   60.299 
2013-06-01T00:40:00  46.394   47.899 
2013-06-01T00:45:00  36.482   38.065 
2013-06-01T00:50:00  29.717   31.364 
2013-06-01T00:55:00  24.543   26.325 
2013-06-01T01:00:00  20.763   22.379 
2013-06-01T01:05:00  17.636   19.283 
2013-06-01T01:10:00  15.185   17.022 
2013-06-01T01:15:00  12.823   14.765 
2013-06-01T01:20:00  10.864   13.146 
2013-06-01T01:25:00  9.2714   11.789 
2013-06-01T01:30:00  7.9963   10.605 
2013-06-01T01:35:00  6.6594   9.6794 
2013-06-01T01:40:00  5.3971   8.8432 
2013-06-01T01:45:00  4.0405   8.1143 
2013-06-01T01:50:00  2.6174   7.2488 
2013-06-01T01:55:00  1.1488   6.4827 
2013-06-01T02:00:00  0.41282   6.0414 
2013-06-01T02:05:00  0.92336   5.8536 
2013-06-01T02:10:00  1.0665   5.7945 
2013-06-01T02:15:00  1.0478   5.8328 
2013-06-01T02:20:00  0.82402   5.3437 
2013-06-01T02:25:00  0.94497   5.3256 
2013-06-01T02:30:00  0.80970   5.2925 
2013-06-01T02:35:00  0.77278   5.2988 
2013-06-01T02:40:00  0.68184   5.1334 
2013-06-01T02:45:00  0.67015   5.1718 
2013-06-01T02:50:00  0.61479   5.2371 
2013-06-01T02:55:00  0.39435   5.2141 
2013-06-01T03:00:00  0.25647   5.1526 
2013-06-01T03:07:30  fill  fill
2013-06-01T03:15:00  1.4042   4.7462 
2013-06-01T03:20:00  1.4881   4.7269 
2013-06-01T03:25:00  1.4873   4.7934 
2013-06-01T03:30:00  1.6994   4.7713 
2013-06-01T03:35:00  2.0028   4.7287 
2013-06-01T03:40:00  2.0041   4.7139 
2013-06-01T03:45:00  1.7518   4.6211 
2013-06-01T03:50:00  1.7919   4.5657 
2013-06-01T03:55:00  1.7124   4.5378 
2013-06-01T04:00:00  1.8296   4.5124 
2013-06-01T04:05:00  1.6495   4.5069 
2013-06-01T04:10:00  1.7903   4.4553 
2013-06-01T04:15:00  1.6880   4.4255 
2013-06-01T04:20:00  1.4385   4.4593 
2013-06-01T04:25:00  1.6210   4.3362 
