#  UTC   F_ce_eq_TS04D(kHz)   F_ce_eq_dipole(kHz)
2014-09-01T00:00:00  4.6434   4.6328 
2014-09-01T00:05:00  4.8153   4.8040 
2014-09-01T00:10:00  4.9110   4.9016 
2014-09-01T00:15:00  5.1489   5.1370 
2014-09-01T00:20:00  5.2770   5.2655 
2014-09-01T00:25:00  5.4609   5.4467 
2014-09-01T00:30:00  5.6877   5.6726 
2014-09-01T00:35:00  5.9508   5.9308 
2014-09-01T00:40:00  6.2360   6.2196 
2014-09-01T00:45:00  6.6017   6.5826 
2014-09-01T00:50:00  6.9370   6.9201 
2014-09-01T00:55:00  7.3597   7.3353 
2014-09-01T01:00:00  7.8162   7.7894 
2014-09-01T01:05:00  8.3299   8.3037 
2014-09-01T01:10:00  8.9701   8.9513 
2014-09-01T01:15:00  9.7110   9.6841 
2014-09-01T01:20:00  10.556   10.543 
2014-09-01T01:25:00  11.509   11.512 
2014-09-01T01:30:00  12.569   12.585 
2014-09-01T01:35:00  13.742   13.774 
2014-09-01T01:40:00  15.137   15.145 
2014-09-01T01:45:00  16.785   16.732 
2014-09-01T01:50:00  18.727   18.674 
2014-09-01T01:55:00  21.059   21.006 
2014-09-01T02:00:00  23.819   23.747 
2014-09-01T02:05:00  27.227   27.182 
2014-09-01T02:10:00  31.667   31.554 
2014-09-01T02:15:00  37.265   37.093 
2014-09-01T02:20:00  44.479   44.226 
2014-09-01T02:25:00  53.927   53.682 
2014-09-01T02:30:00  66.762   66.623 
2014-09-01T02:35:00  84.390   84.614 
2014-09-01T02:40:00  108.92   110.24 
2014-09-01T02:45:00  144.00   148.07 
2014-09-01T02:50:00  194.54   205.02 
2014-09-01T02:55:00  267.89   290.99 
2014-09-01T03:00:00  376.69   414.72 
2014-09-01T03:05:00  520.97   560.85 
2014-09-01T03:10:00  620.45   647.17 
2014-09-01T03:15:00  581.29   583.70 
2014-09-01T03:20:00  425.42   430.34 
2014-09-01T03:25:00  269.16   286.98 
2014-09-01T03:30:00  173.54   187.87 
2014-09-01T03:35:00  119.92   126.59 
2014-09-01T03:40:00  87.403   89.280 
2014-09-01T03:45:00  65.871   65.594 
2014-09-01T03:50:00  51.061   50.062 
2014-09-01T03:55:00  40.615   39.547 
2014-09-01T04:00:00  32.837   32.015 
2014-09-01T04:05:00  26.928   26.481 
2014-09-01T04:10:00  22.531   22.320 
2014-09-01T04:15:00  18.987   19.122 
2014-09-01T04:20:00  16.211   16.616 
2014-09-01T04:25:00  14.131   14.614 
2014-09-01T04:30:00  12.176   12.954 
2014-09-01T04:35:00  10.832   11.584 
2014-09-01T04:40:00  9.7801   10.432 
2014-09-01T04:45:00  8.7000   9.4683 
2014-09-01T04:50:00  7.7659   8.6458 
2014-09-01T04:55:00  7.1302   7.9591 
2014-09-01T05:00:00  6.3209   7.3429 
2014-09-01T05:05:00  5.9775   6.8391 
2014-09-01T05:10:00  5.5315   6.3948 
2014-09-01T05:15:00  5.0869   5.9937 
2014-09-01T05:20:00  4.7084   5.6472 
2014-09-01T05:25:00  4.4250   5.3477 
2014-09-01T05:30:00  4.0997   5.0802 
2014-09-01T05:35:00  3.8980   4.8567 
2014-09-01T05:40:00  3.7452   4.6663 
2014-09-01T05:45:00  3.5564   4.4617 
2014-09-01T05:50:00  3.5064   4.3169 
2014-09-01T05:55:00  3.2828   4.1470 
2014-09-01T06:00:00  3.1042   3.9975 
2014-09-01T06:05:00  2.9887   3.8899 
2014-09-01T06:10:00  2.8735   3.8007 
2014-09-01T06:15:00  2.8344   3.7190 
2014-09-01T06:20:00  2.8371   3.6606 
2014-09-01T06:25:00  2.6998   3.5556 
2014-09-01T06:30:00  2.6063   3.4864 
2014-09-01T06:35:00  2.5849   3.4060 
2014-09-01T06:40:00  2.4968   3.3337 
2014-09-01T06:45:00  2.4807   3.2853 
2014-09-01T06:50:00  2.3710   3.2411 
2014-09-01T06:55:00  2.3155   3.2022 
2014-09-01T07:00:00  2.3027   3.1855 
2014-09-01T07:05:00  2.3096   3.1662 
2014-09-01T07:10:00  2.2959   3.1546 
2014-09-01T07:15:00  2.2540   3.1205 
2014-09-01T07:20:00  2.2864   3.1053 
2014-09-01T07:25:00  2.2254   3.0797 
2014-09-01T07:30:00  2.2452   3.0869 
2014-09-01T07:35:00  2.2405   3.0880 
2014-09-01T07:40:00  2.2813   3.1049 
2014-09-01T07:45:00  2.3130   3.1128 
2014-09-01T07:50:00  2.3258   3.1031 
2014-09-01T07:55:00  2.3960   3.1039 
2014-09-01T08:00:00  2.4851   3.1087 
2014-09-01T08:05:00  2.4319   3.1222 
2014-09-01T08:10:00  2.5155   3.1668 
2014-09-01T08:15:00  2.5889   3.2104 
2014-09-01T08:20:00  2.6388   3.2560 
2014-09-01T08:25:00  2.6897   3.2999 
2014-09-01T08:30:00  2.7256   3.3497 
2014-09-01T08:35:00  2.7810   3.4265 
2014-09-01T08:40:00  2.9148   3.5047 
2014-09-01T08:45:00  2.9587   3.5702 
2014-09-01T08:50:00  3.0281   3.6338 
2014-09-01T08:55:00  3.0930   3.7001 
2014-09-01T09:00:00  3.2059   3.7982 
2014-09-01T09:05:00  3.3282   3.8896 
2014-09-01T09:10:00  3.4972   4.0345 
2014-09-01T09:15:00  3.6181   4.1671 
2014-09-01T09:20:00  3.7747   4.3174 
2014-09-01T09:25:00  3.9698   4.4930 
2014-09-01T09:30:00  4.1166   4.6376 
2014-09-01T09:35:00  4.3340   4.8380 
2014-09-01T09:40:00  4.5747   5.0580 
2014-09-01T09:45:00  4.8646   5.3171 
2014-09-01T09:50:00  5.0836   5.5677 
2014-09-01T09:55:00  5.4576   5.8793 
2014-09-01T10:00:00  5.8165   6.2377 
2014-09-01T10:05:00  6.2693   6.6532 
2014-09-01T10:10:00  6.7932   7.1462 
2014-09-01T10:15:00  7.4004   7.7195 
2014-09-01T10:20:00  8.1265   8.3963 
2014-09-01T10:25:00  8.9492   9.1683 
2014-09-01T10:30:00  9.9290   10.084 
2014-09-01T10:35:00  11.020   11.115 
2014-09-01T10:40:00  12.308   12.339 
2014-09-01T10:45:00  13.826   13.772 
2014-09-01T10:50:00  15.677   15.517 
2014-09-01T10:55:00  17.963   17.659 
2014-09-01T11:00:00  20.791   20.287 
2014-09-01T11:05:00  24.298   23.581 
2014-09-01T11:10:00  28.774   27.791 
2014-09-01T11:15:00  34.451   33.213 
2014-09-01T11:20:00  41.839   40.368 
2014-09-01T11:25:00  51.534   50.000 
2014-09-01T11:30:00  64.512   63.355 
2014-09-01T11:35:00  82.122   82.413 
2014-09-01T11:40:00  106.27   110.38 
2014-09-01T11:45:00  139.32   151.69 
2014-09-01T11:50:00  185.62   211.94 
2014-09-01T11:55:00  253.70   292.96 
2014-09-01T12:00:00  358.79   389.02 
2014-09-01T12:05:00  493.52   504.30 
2014-09-01T12:10:00  585.14   594.19 
2014-09-01T12:15:00  571.58   560.27 
2014-09-01T12:20:00  453.11   448.25 
2014-09-01T12:25:00  323.96   328.38 
2014-09-01T12:30:00  228.60   232.74 
2014-09-01T12:35:00  163.73   165.63 
