#  UTC   F_ce_eq_TS04D(kHz)   F_ce_eq_dipole(kHz)
2013-03-01T00:00:00  37.425   37.709 
2013-03-01T00:05:00  31.162   31.464 
2013-03-01T00:10:00  26.299   26.601 
2013-03-01T00:15:00  22.426   22.720 
2013-03-01T00:20:00  19.368   19.639 
2013-03-01T00:25:00  16.883   17.142 
2013-03-01T00:30:00  14.806   15.048 
2013-03-01T00:35:00  13.028   13.243 
2013-03-01T00:40:00  11.322   11.513 
2013-03-01T00:45:00  9.8506   10.019 
2013-03-01T00:50:00  8.7591   8.9059 
2013-03-01T00:55:00  7.9099   8.0353 
2013-03-01T01:00:00  7.1464   7.2588 
2013-03-01T01:05:00  6.5729   6.6693 
2013-03-01T01:10:00  6.0055   6.0960 
2013-03-01T01:15:00  5.3932   5.4768 
2013-03-01T01:20:00  4.8769   4.9464 
2013-03-01T01:25:00  4.4304   4.4934 
2013-03-01T01:30:00  4.0811   4.1413 
2013-03-01T01:35:00  3.7480   3.7933 
2013-03-01T01:40:00  3.4696   3.5039 
2013-03-01T01:45:00  3.1720   3.1956 
2013-03-01T01:50:00  2.7433   2.7573 
2013-03-01T01:55:00  2.4755   2.4818 
2013-03-01T02:00:00  2.2817   2.2828 
2013-03-01T02:05:00  1.9923   1.9892 
2013-03-01T02:10:00  1.9999   1.9934 
2013-03-01T02:15:00  1.8441   1.8357 
2013-03-01T02:20:00  2.1445   2.1330 
2013-03-01T02:25:00  2.3714   2.3584 
2013-03-01T02:30:00  2.6574   2.6451 
2013-03-01T02:35:00  2.8550   2.8471 
2013-03-01T02:40:00  2.8453   2.8438 
2013-03-01T02:45:00  2.4430   2.4665 
2013-03-01T02:50:00  2.5011   2.5308 
2013-03-01T02:55:00  2.2802   2.3081 
2013-03-01T03:00:00  2.2535   2.3043 
2013-03-01T03:05:00  1.9221   1.9901 
2013-03-01T03:10:00  1.9301   2.0034 
2013-03-01T03:15:00  2.0636   2.1611 
2013-03-01T03:20:00  2.1310   2.2565 
2013-03-01T03:25:00  1.8165   1.9383 
2013-03-01T03:30:00  1.8285   1.9679 
2013-03-01T03:35:00  1.6391   1.7791 
2013-03-01T03:40:00  1.5770   1.7172 
2013-03-01T03:45:00  1.4929   1.6424 
2013-03-01T03:50:00  1.6122   1.7775 
2013-03-01T03:55:00  1.6612   1.8564 
2013-03-01T04:00:00  1.7328   1.9363 
2013-03-01T04:05:00  1.7448   1.9729 
2013-03-01T04:10:00  1.7354   1.9552 
2013-03-01T04:15:00  1.8538   2.0945 
2013-03-01T04:20:00  1.8852   2.1306 
2013-03-01T04:25:00  1.9925   2.2592 
2013-03-01T04:30:00  2.0482   2.3350 
2013-03-01T04:35:00  2.1188   2.4334 
2013-03-01T04:40:00  2.2019   2.5388 
2013-03-01T04:45:00  2.3366   2.6983 
2013-03-01T04:50:00  2.4279   2.7943 
2013-03-01T04:55:00  2.5370   2.9184 
2013-03-01T05:00:00  2.6453   3.0632 
2013-03-01T05:05:00  2.7528   3.1570 
2013-03-01T05:10:00  2.8741   3.2854 
2013-03-01T05:15:00  3.0331   3.4555 
2013-03-01T05:20:00  3.2267   3.6390 
2013-03-01T05:25:00  3.4799   3.8924 
2013-03-01T05:30:00  3.7214   4.1278 
2013-03-01T05:35:00  3.9393   4.3612 
2013-03-01T05:40:00  4.2380   4.6598 
2013-03-01T05:45:00  4.5318   4.9396 
2013-03-01T05:50:00  4.8668   5.2741 
2013-03-01T05:55:00  5.2229   5.6562 
2013-03-01T06:00:00  5.6775   6.0945 
2013-03-01T06:05:00  6.1266   6.5467 
2013-03-01T06:10:00  6.6776   7.0749 
2013-03-01T06:15:00  7.2448   7.6398 
2013-03-01T06:20:00  7.9261   8.2913 
2013-03-01T06:25:00  8.6773   9.0170 
2013-03-01T06:30:00  9.5570   9.8818 
2013-03-01T06:35:00  10.636   10.893 
2013-03-01T06:40:00  11.805   12.003 
2013-03-01T06:45:00  13.240   13.348 
2013-03-01T06:50:00  14.899   14.906 
2013-03-01T06:55:00  17.079   16.812 
2013-03-01T07:00:00  19.643   19.120 
2013-03-01T07:05:00  22.903   21.970 
2013-03-01T07:10:00  27.105   25.594 
2013-03-01T07:15:00  32.593   30.269 
2013-03-01T07:20:00  39.936   36.469 
2013-03-01T07:25:00  49.974   44.854 
2013-03-01T07:30:00  64.339   56.728 
2013-03-01T07:35:00  85.444   74.241 
2013-03-01T07:40:00  117.45   101.40 
2013-03-01T07:45:00  167.72   146.11 
2013-03-01T07:50:00  248.81   223.94 
2013-03-01T07:55:00  376.98   358.63 
2013-03-01T08:00:00  562.54   561.66 
2013-03-01T08:05:00  764.83   759.43 
2013-03-01T08:10:00  786.25   770.18 
2013-03-01T08:15:00  591.37   574.72 
2013-03-01T08:20:00  377.49   382.55 
2013-03-01T08:25:00  239.75   254.96 
2013-03-01T08:30:00  161.10   175.70 
2013-03-01T08:35:00  114.54   126.26 
2013-03-01T08:40:00  85.156   94.216 
